blst,flh,sup,cag,fag,age,inX,outY
0,0,2.5,1040,676,28,0.3,4.38190135
0,0,2.5,1055,676,28,0.3,4.125358355
142.5,0,0,932,594,270,0.685714286,3.695606542
142.5,0,0,932,594,365,0.685714286,3.714790601
132.4,0,0,978.4,825.5,360,0.966767372,3.790984438
114,0,0,932,670,90,0.857142857,3.850785453
95,0,0,932,594,365,0.6,3.777347864
95,0,0,932,594,28,0.6,3.595941232
114,0,0,932,670,28,0.857142857,3.825374957
0,0,0,932,594,28,0.48,3.670969802
132.4,0,0,978.4,825.5,90,0.966767372,3.639426341
132.4,0,0,978.4,825.5,28,0.966767372,3.332918331
47.5,0,0,932,594,270,0.533333333,3.761432409
190,0,0,932,670,90,1.2,3.745495818
76,0,0,932,670,28,0.75,3.867234579
0,0,0,932,670,90,0.6,3.968592106
209.4,0,0,1047,806.9,90,1.375358166,3.67274984
38,0,0,932,670,365,0.666666667,4.027848317
95,0,0,932,594,90,0.6,3.702782126
0,0,0,932,594,180,0.48,3.75232339
47.5,0,0,932,594,180,0.533333333,3.733852584
209.4,0,0,1047,806.9,28,1.375358166,3.340739202
209.4,0,0,1047,806.9,3,1.375358166,2.086913425
209.4,0,0,1047,806.9,180,1.375358166,3.788950769
0,0,0,932,670,365,0.6,3.961193799
0,0,0,932,670,270,0.6,3.97593608
95,0,0,932,594,270,0.6,3.717223693
38,0,0,932,670,180,0.666666667,3.953548503
47.5,0,0,932,594,28,0.533333333,3.622472293
0,0,0,932,594,7,0.48,3.653252046
76,0,0,932,670,365,0.75,4.012049066
114,0,0,932,670,365,0.857142857,3.968592106
132.4,0,0,978.4,825.5,180,0.966767372,3.730980395
0,0,0,932,594,270,0.48,3.74075984
190,0,0,932,670,365,1.2,3.983226513
237.5,0,0,932,594,270,0.96,3.648317612
237.5,0,0,932,594,28,0.96,3.403860284
142.5,0,0,932,594,90,0.685714286,3.630190229
0,0,0,932,594,90,0.48,3.743130633
237.5,0,0,932,594,180,0.96,3.590439155
38,0,0,932,670,90,0.666666667,3.921180696
47.5,0,0,932,594,365,0.533333333,3.777347864
237.5,0,0,932,594,365,0.96,3.663561415
0,0,0,932,670,180,0.6,3.972176678
47.5,0,0,932,594,90,0.533333333,3.726656583
47.5,0,0,932,594,7,0.533333333,3.557630943
0,0,0,1047,806.9,3,0.550143266,2.71137782
95,0,0,932,594,180,0.6,3.707700974
237.5,0,0,932,594,7,0.96,3.268046663
95,0,0,932,594,7,0.6,3.491037865
142.5,0,0,932,594,180,0.685714286,3.683364041
190,0,0,932,670,180,1.2,3.848656887
237.5,0,0,932,594,90,0.96,3.500137109
76,0,0,932,670,90,0.75,3.895690105
209.4,0,0,1047,806.9,7,1.375358166,2.680336193
132.4,0,0,978.4,825.5,7,0.966767372,2.683757339
0,0,0,932,594,365,0.48,3.736001325
132.4,0,0,978.4,825.5,3,0.966767372,2.211565555
76,0,0,932,670,180,0.75,3.930844512
142.5,0,0,932,594,28,0.685714286,3.497113218
76,0,0,932,670,270,0.75,3.995996187
114,0,0,932,670,270,0.857142857,3.946037635
0,0,0,971,850.6,3,0.619354839,2.289499709
190,0,0,932,670,270,1.2,3.925136397
114,0,0,932,670,180,0.857142857,3.885678785
38,0,0,932,670,270,0.666666667,4.008423247
209.4,0,0,1047,806.9,360,1.375358166,3.799973262
142.5,0,0,932,594,7,0.685714286,3.410487213
190,0,0,932,670,28,1.2,3.710151355
0,0,0,1120,800,28,0.301030928,4.276526951
189.2,0,10.1,926.1,756.7,3,0.454812834,3.538056341
262.2,0,8.6,1046.9,611.8,3,0.560165975,3.360375175
106.3,0,16.5,852.1,887.1,3,0.361176471,3.508555679
106.3,0,18.6,936,803.7,3,0.356235294,3.591817515
93.8,0,23.4,852.1,992.6,3,0.3376,3.367295617
118.8,0,8.9,852.1,781.5,3,0.381263158,3.632308873
117.2,0,32.2,852.1,840.5,3,0.293816631,3.693866763
106.3,0,16.5,852.1,887.1,3,0.361176471,3.508555679
97.1,0,12.1,852.1,925.7,3,0.406330417,3.335769366
0,0,28.2,852.1,893.7,3,0.266892528,3.720862265
106.3,0,16.5,852.1,887.1,3,0.361176471,3.508555679
212.5,0,14.3,852.1,880.4,3,0.488393977,3.226843791
94.7,0,11.4,946.8,852.1,3,0.366849179,3.716007887
189,0,11.6,944.7,755.8,3,0.454771098,3.563882739
282.8,0,10.3,942.7,659.9,3,0.5678097,3.342861594
151.2,0,15.9,1134.3,605,3,0.405533597,3.353406506
189,0,11.6,944.7,755.8,3,0.454771098,3.563882739
200.9,0,11.2,1004.6,803.7,3,0.505413902,3.194582931
189,0,11.6,944.7,755.8,3,0.454771098,3.563882739
177,0,11.1,884.9,707.9,3,0.423690205,3.671224287
189,0,22,944.7,755.8,3,0.374198512,3.703767833
189,0,11.6,944.7,755.8,3,0.454771098,3.563882739
189,0,9.5,944.7,755.8,3,0.51760876,3.18221164
189.2,0,10.1,926.1,756.7,7,0.454812834,3.832979556
262.2,0,8.6,1046.9,611.8,7,0.560165975,3.756537866
106.3,0,16.5,852.1,887.1,7,0.361176471,3.895893378
106.3,0,18.6,936,803.7,7,0.356235294,3.84588296
93.8,0,23.4,852.1,992.6,7,0.3376,3.822098057
118.8,0,8.9,852.1,781.5,7,0.381263158,4.018182948
117.2,0,32.2,852.1,840.5,7,0.293816631,4.005513096
106.3,0,16.5,852.1,887.1,7,0.361176471,3.895893378
97.1,0,12.1,852.1,925.7,7,0.406330417,3.552486605
0,0,28.2,852.1,893.7,7,0.266892528,3.848017433
106.3,0,16.5,852.1,887.1,7,0.361176471,3.895893378
212.5,0,14.3,852.1,880.4,7,0.488393977,3.508555679
94.7,0,11.4,946.8,852.1,7,0.366849179,3.990833934
189,0,11.6,944.7,755.8,7,0.454771098,4.023564126
282.8,0,10.3,942.7,659.9,7,0.5678097,3.908014737
151.2,0,15.9,1134.3,605,7,0.405533597,3.852272758
189,0,11.6,944.7,755.8,7,0.454771098,4.023564126
200.9,0,11.2,1004.6,803.7,7,0.505413902,3.63758593
189,0,11.6,944.7,755.8,7,0.454771098,4.023564126
177,0,11.1,884.9,707.9,7,0.423690205,4.027135558
189,0,22,944.7,755.8,7,0.374198512,4.079061448
189,0,11.6,944.7,755.8,7,0.454771098,3.131136713
189,0,9.5,944.7,755.8,7,0.51760876,3.558200906
189.2,0,10.1,926.1,756.7,28,0.454812834,4.112347927
262.2,0,8.6,1046.9,611.8,28,0.560165975,4.091005403
106.3,0,16.5,852.1,887.1,28,0.361176471,4.099165994
106.3,0,18.6,936,803.7,28,0.356235294,4.123903104
93.8,0,23.4,852.1,992.6,28,0.3376,4.037773956
118.8,0,8.9,852.1,781.5,28,0.381263158,4.2239095
117.2,0,32.2,852.1,840.5,28,0.293816631,4.203198702
106.3,0,16.5,852.1,887.1,28,0.361176471,4.099165994
97.1,0,12.1,852.1,925.7,28,0.406330417,3.925925663
