,blst,flh,sup,cag,fag,age,inX,outY
943,0.0,111.9,7.9,992.0,815.9,28,1.216358839,2.499795105
833,178.0,139.0,18.0,944.0,695.0,28,1.105263158,3.593193977
275,0.0,118.3,5.8,1028.4,757.7,14,0.749801114,3.398861107
653,153.0,0.0,0.0,887.0,942.0,90,1.882352941,3.237108389
904,183.0,0.0,9.0,877.0,868.0,28,1.24516129,3.169265124
358,97.8,24.5,11.2,1061.7,782.5,100,0.57972583,4.203945807
415,0.0,95.7,5.3,948.9,857.2,3,0.7672,2.138888865
33,0.0,0.0,0.0,932.0,594.0,270,0.48,3.74075984
266,0.0,124.8,7.8,1085.4,799.5,28,0.75,3.650658011
452,93.4,159.9,9.7,1007.2,746.6,56,0.99136939,3.89161595
552,238.2,0.0,0.0,1040.6,734.3,7,1.169395466,2.263844122
729,0.0,0.0,0.0,1025.0,821.0,90,0.580060423,3.6352147
627,0.0,0.0,0.0,1125.0,845.0,7,0.9,2.059238704
642,0.0,0.0,0.0,1100.0,820.0,28,0.728,3.038312529
815,0.0,0.0,0.0,1125.0,613.0,3,0.36,3.52046058
656,133.0,0.0,0.0,965.4,806.2,3,0.96,2.43449001
378,0.0,0.0,0.0,1003.5,762.4,100,0.570744681,3.762594254
761,0.0,0.0,0.0,974.0,775.0,90,0.58,3.44521405
222,0.0,163.3,4.5,1058.6,780.1,56,1.062612884,3.354454907
488,20.0,94.0,14.3,938.0,845.0,3,0.405684755,3.124564948
734,0.0,0.0,0.0,1056.0,809.0,90,0.550143266,3.705244574
777,0.0,0.0,0.0,1069.0,754.0,28,0.545722714,3.460723143
757,0.0,0.0,0.0,974.0,775.0,7,0.58,2.897567842
344,0.0,174.7,10.2,1053.5,776.4,3,0.724379972,2.866192721
539,0.0,0.0,0.0,936.2,712.2,90,0.4,3.994892231
601,0.0,0.0,0.0,968.0,781.0,28,0.581120944,3.466984903
240,0.0,118.2,6.1,1028.1,757.6,14,0.849804092,3.105482942
667,288.0,0.0,0.0,929.8,716.1,28,1.0,3.671733064
392,17.5,163.0,17.9,996.0,652.0,28,0.501501502,3.85608713
269,0.0,121.6,6.7,1056.4,778.5,3,0.75064711,2.736961372
551,0.0,0.0,0.0,889.8,945.0,3,0.752941176,2.104134021
798,0.0,0.0,0.0,1125.0,613.0,270,0.4,4.0102378
779,0.0,0.0,0.0,1069.0,769.0,28,0.627118644,3.226049825
194,0.0,100.5,7.5,1006.4,905.9,3,0.850539291,2.521720464
480,24.0,79.0,11.6,967.0,712.0,7,0.3632287,3.671224287
426,93.4,159.9,9.7,1007.2,746.6,14,0.99136939,3.38608353
975,116.8,91.0,7.0,946.5,665.6,28,0.688086643,3.774598091
668,102.0,0.0,0.0,888.0,943.1,3,1.254901961,1.564440448
984,0.0,142.8,9.1,877.2,867.7,28,1.24870801,2.276240974
128,94.7,0.0,11.4,946.8,852.1,28,0.366849179,4.226833479
971,144.7,0.0,8.0,999.7,822.2,28,0.407099456,3.795938287
950,0.0,137.9,10.8,801.1,792.5,28,0.60949464,3.654028946
258,0.0,100.4,8.7,1007.8,903.6,100,0.749647059,3.759337681
1000,166.6,129.7,10.9,882.6,785.3,28,1.222692037,3.797957809
249,0.0,95.7,5.5,956.9,861.2,3,0.7496,2.626116653
841,0.0,100.0,10.0,959.0,705.0,28,0.642622951,3.405189188
685,200.0,0.0,0.0,927.4,839.2,7,1.443609023,2.614471689
825,0.0,0.0,0.0,1040.0,734.0,28,0.465994962,3.665866448
819,0.0,0.0,0.0,1125.0,613.0,90,0.36,4.073801404
908,145.0,0.0,8.0,1000.0,822.0,28,0.405750799,3.795938287
731,0.0,0.0,0.0,1056.0,809.0,3,0.550143266,2.76443036
471,24.0,79.0,11.6,967.0,712.0,28,0.3632287,4.04357719
508,22.0,132.0,8.5,882.0,750.0,3,0.419811321,3.466048135
573,210.7,0.0,0.0,977.0,689.3,28,0.587472319,3.655839369
640,0.0,0.0,0.0,1025.0,745.0,7,0.4675,3.405852978
877,0.0,107.0,11.0,819.0,778.0,28,0.746621622,3.447444415
71,262.2,0.0,8.6,1046.9,611.8,3,0.560165975,3.360375175
185,0.0,96.7,4.5,967.1,870.3,14,0.851169065,3.196630014
399,156.0,0.0,5.9,981.0,760.0,28,0.807692308,3.671224287
644,0.0,0.0,0.0,1050.0,770.0,28,0.531428571,3.534853543
150,212.5,0.0,14.3,852.1,880.4,56,0.488393977,4.191168482
402,190.0,0.0,7.6,1031.0,685.0,28,0.571929825,3.981175613
108,151.2,0.0,15.9,1134.3,605.0,7,0.405533597,3.852272758
484,24.0,79.0,10.3,967.0,712.0,56,0.3632287,4.003142346
542,0.0,0.0,0.0,889.8,945.0,90,0.752941176,3.084658288
364,53.8,121.9,9.6,1014.3,780.6,3,0.724057701,2.89148207
753,0.0,0.0,0.0,1125.0,613.0,28,0.32037037,4.209308548
481,24.0,79.0,11.6,967.0,712.0,56,0.3632287,4.112020488
664,166.8,0.0,0.0,977.6,694.1,7,0.813349321,2.962692233
1003,187.0,0.0,6.6,824.3,756.9,28,0.522677596,4.188289911
89,177.0,0.0,11.1,884.9,707.9,3,0.423690205,3.671224287
444,0.0,118.3,5.8,1043.6,754.3,28,0.767303103,3.504655869
616,0.0,0.0,0.0,968.0,856.0,360,0.689530686,3.517497615
