,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.2422902584075928,-1.5534986900951675,-0.931081826720018,0.013609454035758972
1,0.04,-1.345556616783142,-1.5373695094793804,-1.1537437240869037,0.025714663788676262
2,0.06,-1.2973593473434448,-1.4699942232865626,-1.124724471400327,0.03160069137811661
3,0.08,-1.3307057619094849,-1.4823832039041265,-1.1790283199148432,0.03782472014427185
4,0.1,-1.2722502946853638,-1.440230342596972,-1.1042702467737555,0.04318710416555405
5,0.12,-1.2484426498413086,-1.381819737856101,-1.1150655618265162,0.0495695136487484
6,0.14,-1.2538764476776123,-1.3581760964613632,-1.1495767988938614,0.044916778802871704
7,0.16,-1.1779191493988037,-1.306946081756476,-1.0488922170411314,0.06038079783320427
8,0.18,-1.1556744575500488,-1.2649676436373383,-1.0463812714627594,0.06318346410989761
9,0.2,-1.1417386531829834,-1.240596646097061,-1.0428806602689058,0.06329043954610825
10,0.22,-1.2192100286483765,-1.3210913555864083,-1.1173287017103446,0.06656811386346817
11,0.24,-1.280689001083374,-1.4045730358775188,-1.1568049662892292,0.08180518448352814
12,0.26,-1.2996675968170166,-1.410267778392582,-1.189067415241451,0.07653838396072388
13,0.28,-1.3152350187301636,-1.4177388057714724,-1.2127312316888548,0.07841399312019348
14,0.3,-1.3482816219329834,-1.436073110915685,-1.2604901329502818,0.07085606455802917
15,0.32,-1.3183377981185913,-1.4288480758722022,-1.2078275203649804,0.07856374233961105
16,0.34,-1.2824631929397583,-1.3832898034014927,-1.181636582478024,0.0800066664814949
17,0.36,-1.1930361986160278,-1.2682875659630573,-1.1177848312689984,0.06880427151918411
18,0.38,-1.1559895277023315,-1.2395746033125503,-1.0724044520921128,0.07382796704769135
19,0.4,-1.1463334560394287,-1.2383518158668865,-1.054315096211971,0.08116675168275833
20,0.42,-1.177445411682129,-1.2748204100589136,-1.0800704133053443,0.07915972173213959
21,0.44,-1.1837648153305054,-1.285881620288046,-1.0816480103729647,0.08636517077684402
22,0.46,-1.2080767154693604,-1.2897103841539612,-1.1264430467847595,0.07182896882295609
23,0.48,-1.1820542812347412,-1.2735810505100422,-1.0905275119594402,0.0807863175868988
24,0.5,-1.1817259788513184,-1.2487154404787295,-1.1147365172239072,0.06754815578460693
25,0.52,-1.1763200759887695,-1.2443889736573917,-1.1082511783201474,0.06563416868448257
26,0.54,-1.1446137428283691,-1.227451980458141,-1.0617755051985973,0.07344464212656021
27,0.56,-1.1597416400909424,-1.2759518085829968,-1.043531471598888,0.0919051319360733
28,0.58,-1.1443132162094116,-1.2105374867015328,-1.0780889457172904,0.0610014982521534
29,0.6,-1.0794204473495483,-1.2135074349070085,-0.9453334597920882,0.08813033998012543
30,0.62,-1.0667972564697266,-1.1429829893758088,-0.9906115235636442,0.0665200725197792
31,0.64,-1.0765091180801392,-1.1444209841124688,-1.0085972520478095,0.06121367961168289
32,0.66,-1.085227370262146,-1.1913242298182387,-0.9791305107060533,0.08109603822231293
33,0.68,-1.0872324705123901,-1.2077547278203387,-0.9667102132044417,0.0795433521270752
34,0.7,-1.0855894088745117,-1.1659852408241203,-1.0051935769249032,0.06607705354690552
35,0.72,-1.1082652807235718,-1.194490903199383,-1.0220396582477607,0.05504230409860611
36,0.74,-1.1191928386688232,-1.2656464351316834,-0.9727392422059632,0.07733011990785599
37,0.76,-1.0742853879928589,-1.1772315884312596,-0.9713391875544581,0.05868406966328621
38,0.78,-1.079772710800171,-1.2054277072272723,-0.9541177143730695,0.07131890207529068
39,0.8,-1.0698373317718506,-1.1730199529055825,-0.9666547106381187,0.06104558706283569
40,0.82,-1.0530169010162354,-1.1468394353600762,-0.9591943666723945,0.055842768400907516
41,0.84,-0.9585497379302979,-1.072367489942081,-0.8447319859185146,0.04650835320353508
42,0.86,-0.8826154470443726,-0.974183080666271,-0.7910478134224741,0.043778903782367706
43,0.88,-0.8576528429985046,-0.9572900911650629,-0.7580155948319464,0.043686848133802414
44,0.9,-0.7891752123832703,-0.9246293916939041,-0.6537210330726364,0.03589210286736488
45,0.92,-0.6906221508979797,-0.8065425019184294,-0.5747017998775301,0.031514059752225876
46,0.94,-0.6778817176818848,-0.8454788444176243,-0.5102845909461452,0.025818930938839912
47,0.96,-0.6573942303657532,-0.8131170337864232,-0.5016714269450832,0.016947943717241287
48,0.98,-0.705800473690033,-0.809647163619679,-0.6019537837603869,0.01397778932005167
