,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.317302332243436,-1.6554652790460331,-0.979139385440839,0.020058662544212104
1,0.04,-1.4252840479894076,-1.7324617002550946,-1.1181063957237205,0.03491088813265039
2,0.06,-1.3680862737436783,-1.6477384542573237,-1.088434093230033,0.04916708739549517
3,0.08,-1.3959116550916804,-1.6445518063689364,-1.1472715038144243,0.06123328604689666
4,0.1,-1.3376644622040885,-1.5806046174448813,-1.0947243069632957,0.07160683105172858
5,0.12,-1.3103092578022597,-1.5490960517677874,-1.071522463836732,0.08136538375606628
6,0.14,-1.3189589368597012,-1.542400048202013,-1.0955178255173894,0.09042068282402028
7,0.16,-1.2389895198721206,-1.4656106538142388,-1.0123683859300023,0.09926886261047733
8,0.18,-1.2208158497031718,-1.466472702183695,-0.9751589972226485,0.10503899049000949
9,0.2,-1.2093793386311518,-1.454959935702333,-0.9637987415599705,0.11124699270905215
10,0.22,-1.2754561505175275,-1.516819098802086,-1.034093202232969,0.1152167890097656
11,0.24,-1.3401421319650808,-1.5629666678550955,-1.117317596075066,0.11940295908065794
12,0.26,-1.3529856089171517,-1.5660560623363187,-1.1399151554979847,0.12365760267707991
13,0.28,-1.3756687875251163,-1.574493539070036,-1.1768440359801966,0.1263961435148528
14,0.3,-1.4089888992720603,-1.6013275305380505,-1.21665026800607,0.1287933639605524
15,0.32,-1.3753052927349927,-1.5644268019936705,-1.186183783476315,0.1311721815562446
16,0.34,-1.3429110337178827,-1.5259382008171096,-1.1598838666186557,0.1328125636506815
17,0.36,-1.255864570321961,-1.4253212632264882,-1.086407877417434,0.13434912279576625
18,0.38,-1.20841756013931,-1.3708758741581937,-1.0459592461204261,0.13592689632821292
19,0.4,-1.2089539790151775,-1.3650341741644163,-1.0528737838659388,0.136354238514493
20,0.42,-1.2295707755716307,-1.3804438538746326,-1.0786976972686289,0.13675991902405157
21,0.44,-1.239613572266535,-1.3854876609709854,-1.0937394835620844,0.13682460488892473
22,0.46,-1.2629821960691743,-1.40306761137558,-1.1228967807627686,0.1365181700097508
23,0.48,-1.2352331234774852,-1.3667992929113097,-1.1036669540436606,0.1362349763761537
24,0.5,-1.23324288862932,-1.3601736046134039,-1.1063121726452363,0.13524342531306427
25,0.52,-1.2277078430129222,-1.347893164223487,-1.1075225218023574,0.13422341579140284
26,0.54,-1.1990979440060983,-1.316905009100104,-1.0812908789120925,0.13320295383610659
27,0.56,-1.2111328397787702,-1.3276642115197586,-1.0946014680377818,0.13115515728322583
28,0.58,-1.1949525866236854,-1.310161255423595,-1.0797439178237758,0.1289220834500111
29,0.6,-1.1328731308205988,-1.2475782736765388,-1.0181679879646588,0.12702636105025134
30,0.62,-1.115028230593083,-1.22771067007767,-1.0023457911084959,0.12420351479226942
31,0.64,-1.124454283745763,-1.2358549255893476,-1.0130536419021783,0.12067645526216586
32,0.66,-1.13777650161353,-1.2474072609966909,-1.028145742230369,0.11707900281457143
33,0.68,-1.141215198664284,-1.2499639821322122,-1.0324664151963558,0.11339995831917941
34,0.7,-1.13550630822715,-1.2438560531949188,-1.027156563259381,0.10973779321223787
35,0.72,-1.1585505520761217,-1.2666324751490756,-1.0504686290031677,0.1050376148405526
36,0.74,-1.1686583824193804,-1.2796048482991573,-1.0577119165396034,0.10035934816559464
37,0.76,-1.1203014852907245,-1.2351024064815364,-1.0055005640999126,0.09577403907285074
38,0.78,-1.129581701308723,-1.2468420393196973,-1.0123213632977488,0.09062783144519479
39,0.8,-1.1240988042034132,-1.2491333539463234,-0.9990642544605031,0.08442559397008191
40,0.82,-1.1065614684645197,-1.2344698504254956,-0.9786530865035439,0.07818923711192279
41,0.84,-1.0079267642029208,-1.1500892391473183,-0.8657642892585232,0.07233400603050179
42,0.86,-0.9330173824107533,-1.0865734328801355,-0.779461331941371,0.0660762420153366
43,0.88,-0.9013314247877133,-1.0606477192032817,-0.7420151303721451,0.058352527679673784
44,0.9,-0.8389650231169412,-1.0008591204949087,-0.6770709257389738,0.05030993210711219
45,0.92,-0.7409874058810146,-0.9077963566955771,-0.5741784550664522,0.042150510564452036
46,0.94,-0.7277489722509927,-0.9016302000873032,-0.5538677444146821,0.03240082363326185
47,0.96,-0.7072018091358814,-0.8945425955623684,-0.5198610227093944,0.022559530711534055
48,0.98,-0.7512373816401805,-0.9570410235634428,-0.5454337397169182,0.012015397283335318
